"date","device","poll","conc","vg","conex"
"9/3/25 13:14","T-API","CO",2.081,"2 ppm","M"
"9/3/25 13:15","T-API","CO",2.07,"2 ppm","M"
"9/3/25 13:16","T-API","CO",2.08,"2 ppm","M"
"9/3/25 13:17","T-API","CO",2.08,"2 ppm","M"
"9/3/25 13:18","T-API","CO",2.067,"2 ppm","M"
"9/3/25 13:19","T-API","CO",2.057,"2 ppm","M"
"9/3/25 13:20","T-API","CO",2.057,"2 ppm","M"
"9/3/25 13:21","T-API","CO",2.06,"2 ppm","M"
"9/3/25 13:22","T-API","CO",2.06,"2 ppm","M"
"9/3/25 13:23","T-API","CO",2.063,"2 ppm","M"
"9/3/25 13:24","T-API","CO",2.064,"2 ppm","M"
"9/3/25 13:25","T-API","CO",2.054,"2 ppm","M"
"9/3/25 13:26","T-API","CO",2.044,"2 ppm","M"
"9/3/25 13:27","T-API","CO",2.03,"2 ppm","M"
"9/3/25 13:28","T-API","CO",2.033,"2 ppm","M"
"9/3/25 13:29","T-API","CO",2.04,"2 ppm","M"
"9/3/25 13:30","T-API","CO",2.037,"2 ppm","M"
"9/3/25 13:31","T-API","CO",2.04,"2 ppm","M"
"9/3/25 13:32","T-API","CO",2.043,"2 ppm","M"
"9/3/25 13:33","T-API","CO",2.05,"2 ppm","M"
"9/3/25 13:34","T-API","CO",2.05,"2 ppm","M"
"9/3/25 13:35","T-API","CO",2.05,"2 ppm","M"
"9/3/25 13:36","T-API","CO",2.043,"2 ppm","M"
"9/3/25 13:37","T-API","CO",2.04,"2 ppm","M"
"9/3/25 13:38","T-API","CO",2.043,"2 ppm","M"
"9/3/25 13:39","T-API","CO",2.044,"2 ppm","M"
"9/3/25 13:40","T-API","CO",2.04,"2 ppm","M"
"9/3/25 13:41","T-API","CO",2.037,"2 ppm","M"
"9/3/25 13:42","T-API","CO",2.04,"2 ppm","M"
"9/3/25 13:43","T-API","CO",2.037,"2 ppm","M"
"9/3/25 13:44","T-API","CO",2.03,"2 ppm","M"
"9/3/25 13:45","T-API","CO",2.033,"2 ppm","M"
"9/3/25 13:46","T-API","CO",2.037,"2 ppm","M"
"9/3/25 13:47","T-API","CO",2.037,"2 ppm","M"
"9/3/25 13:48","T-API","CO",2.03,"2 ppm","M"
"9/3/25 13:49","T-API","CO",2.02,"2 ppm","M"
"9/3/25 13:50","T-API","CO",2.014,"2 ppm","M"
"9/3/25 13:51","T-API","CO",2.01,"2 ppm","M"
"9/3/25 13:52","T-API","CO",2.013,"2 ppm","M"
"9/3/25 13:53","T-API","CO",2.017,"2 ppm","M"
"9/3/25 13:54","T-API","CO",2.007,"2 ppm","M"
"9/3/25 13:55","T-API","CO",2,"2 ppm","M"
"9/3/25 13:56","T-API","CO",1.993,"2 ppm","M"
"9/3/25 13:57","T-API","CO",2.003,"2 ppm","M"
"9/3/25 13:58","T-API","CO",2.003,"2 ppm","M"
"9/3/25 13:59","T-API","CO",2,"2 ppm","M"
"9/3/25 14:00","T-API","CO",2.007,"2 ppm","M"
"9/3/25 14:01","T-API","CO",2.016,"2 ppm","M"
"9/3/25 14:02","T-API","CO",2.027,"2 ppm","M"
"9/3/25 14:03","T-API","CO",2.014,"2 ppm","M"
"9/3/25 14:04","T-API","CO",2,"2 ppm","M"
"9/3/25 14:05","T-API","CO",1.99,"2 ppm","M"
"9/3/25 14:06","T-API","CO",1.99,"2 ppm","M"
"9/3/25 14:07","T-API","CO",1.993,"2 ppm","M"
"9/3/25 14:08","T-API","CO",1.99,"2 ppm","M"
"9/3/25 14:09","T-API","CO",2,"2 ppm","M"
"9/3/25 14:10","T-API","CO",1.987,"2 ppm","M"
"9/3/25 14:11","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:12","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:13","T-API","CO",1.987,"2 ppm","M"
"9/3/25 14:14","T-API","CO",2,"2 ppm","M"
"9/3/25 14:15","T-API","CO",2.003,"2 ppm","M"
"9/3/25 14:16","T-API","CO",2,"2 ppm","M"
"9/3/25 14:17","T-API","CO",2,"2 ppm","M"
"9/3/25 14:18","T-API","CO",2.007,"2 ppm","M"
"9/3/25 14:19","T-API","CO",2.003,"2 ppm","M"
"9/3/25 14:20","T-API","CO",2.007,"2 ppm","M"
"9/3/25 14:21","T-API","CO",2,"2 ppm","M"
"9/3/25 14:22","T-API","CO",1.994,"2 ppm","M"
"9/3/25 14:23","T-API","CO",1.987,"2 ppm","M"
"9/3/25 14:24","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:25","T-API","CO",1.974,"2 ppm","M"
"9/3/25 14:26","T-API","CO",1.973,"2 ppm","M"
"9/3/25 14:27","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:28","T-API","CO",1.987,"2 ppm","M"
"9/3/25 14:29","T-API","CO",1.984,"2 ppm","M"
"9/3/25 14:30","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:31","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:32","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:33","T-API","CO",1.987,"2 ppm","M"
"9/3/25 14:34","T-API","CO",1.997,"2 ppm","M"
"9/3/25 14:35","T-API","CO",2,"2 ppm","M"
"9/3/25 14:36","T-API","CO",1.993,"2 ppm","M"
"9/3/25 14:37","T-API","CO",1.987,"2 ppm","M"
"9/3/25 14:38","T-API","CO",1.987,"2 ppm","M"
"9/3/25 14:39","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:40","T-API","CO",1.98,"2 ppm","M"
"9/3/25 14:41","T-API","CO",1.97,"2 ppm","M"
"9/3/25 14:42","T-API","CO",1.97,"2 ppm","M"
"9/3/25 14:43","T-API","CO",1.973,"2 ppm","M"
"9/3/25 14:44","T-API","CO",1.97,"2 ppm","M"
"9/3/25 14:45","T-API","CO",1.967,"2 ppm","M"
"9/3/25 14:46","T-API","CO",1.967,"2 ppm","M"
"9/3/25 14:47","T-API","CO",1.97,"2 ppm","M"
"9/3/25 14:48","T-API","CO",1.97,"2 ppm","M"
"9/3/25 14:49","T-API","CO",1.96,"2 ppm","M"
"9/3/25 14:50","T-API","CO",1.953,"2 ppm","M"
"9/3/25 14:51","T-API","CO",1.96,"2 ppm","M"
"9/3/25 14:52","T-API","CO",1.95,"2 ppm","M"
