"date","device","poll","conc","vg","conex"
"08/27/25 11:36","T-API","CO",6.048,"6 ppm","D"
"08/27/25 11:37","T-API","CO",5.904,"6 ppm","D"
"08/27/25 11:38","T-API","CO",5.932,"6 ppm","D"
"08/27/25 11:39","T-API","CO",5.962,"6 ppm","D"
"08/27/25 11:40","T-API","CO",5.987,"6 ppm","D"
"08/27/25 11:41","T-API","CO",5.99,"6 ppm","D"
"08/27/25 11:42","T-API","CO",6.003,"6 ppm","D"
"08/27/25 11:43","T-API","CO",6.013,"6 ppm","D"
"08/27/25 11:44","T-API","CO",6.04,"6 ppm","D"
"08/27/25 11:45","T-API","CO",6.037,"6 ppm","D"
"08/27/25 11:46","T-API","CO",6.05,"6 ppm","D"
"08/27/25 11:47","T-API","CO",6.043,"6 ppm","D"
"08/27/25 11:48","T-API","CO",6.05,"6 ppm","D"
"08/27/25 11:49","T-API","CO",6.05,"6 ppm","D"
"08/27/25 11:50","T-API","CO",6.063,"6 ppm","D"
"08/27/25 11:51","T-API","CO",6.073,"6 ppm","D"
"08/27/25 11:52","T-API","CO",6.07,"6 ppm","D"
"08/27/25 11:53","T-API","CO",6.067,"6 ppm","D"
"08/27/25 11:54","T-API","CO",6.06,"6 ppm","D"
"08/27/25 11:55","T-API","CO",6.063,"6 ppm","D"
"08/27/25 11:56","T-API","CO",6.054,"6 ppm","D"
"08/27/25 11:57","T-API","CO",6.054,"6 ppm","D"
"08/27/25 11:58","T-API","CO",6.057,"6 ppm","D"
"08/27/25 11:59","T-API","CO",6.06,"6 ppm","D"
"08/27/25 12:00","T-API","CO",6.063,"6 ppm","D"
"08/27/25 12:01","T-API","CO",6.07,"6 ppm","D"
"08/27/25 12:02","T-API","CO",6.07,"6 ppm","D"
"08/27/25 12:03","T-API","CO",6.07,"6 ppm","D"
"08/27/25 12:04","T-API","CO",6.067,"6 ppm","D"
"08/27/25 12:05","T-API","CO",6.08,"6 ppm","D"
"08/27/25 12:06","T-API","CO",6.093,"6 ppm","D"
"08/27/25 12:07","T-API","CO",6.11,"6 ppm","D"
"08/27/25 12:08","T-API","CO",6.094,"6 ppm","D"
"08/27/25 12:09","T-API","CO",6.051,"6 ppm","D"
"08/27/25 12:10","T-API","CO",5.994,"6 ppm","D"
"08/27/25 12:11","T-API","CO",5.973,"6 ppm","D"
"08/27/25 12:12","T-API","CO",6.003,"6 ppm","D"
"08/27/25 12:13","T-API","CO",6.029,"6 ppm","D"
"08/27/25 12:14","T-API","CO",6.047,"6 ppm","D"
"08/27/25 12:15","T-API","CO",6.05,"6 ppm","D"
"08/27/25 12:16","T-API","CO",6.066,"6 ppm","D"
"08/27/25 12:17","T-API","CO",6.07,"6 ppm","D"
"08/27/25 12:18","T-API","CO",6.07,"6 ppm","D"
"08/27/25 12:19","T-API","CO",6.074,"6 ppm","D"
"08/27/25 12:20","T-API","CO",6.07,"6 ppm","D"
"08/27/25 12:21","T-API","CO",6.073,"6 ppm","D"
"08/27/25 12:22","T-API","CO",6.074,"6 ppm","D"
"08/27/25 12:23","T-API","CO",6.08,"6 ppm","D"
"08/27/25 12:24","T-API","CO",6.08,"6 ppm","D"
"08/27/25 12:25","T-API","CO",6.08,"6 ppm","D"
"08/27/25 12:26","T-API","CO",6.083,"6 ppm","D"
"08/27/25 12:27","T-API","CO",6.1,"6 ppm","D"
"08/27/25 12:28","T-API","CO",6.119,"6 ppm","D"
"08/27/25 12:29","T-API","CO",6.124,"6 ppm","D"
"08/27/25 12:30","T-API","CO",6.107,"6 ppm","D"
"08/27/25 12:31","T-API","CO",6.059,"6 ppm","D"
"08/27/25 12:32","T-API","CO",6.014,"6 ppm","D"
"08/27/25 12:33","T-API","CO",6,"6 ppm","D"
"08/27/25 12:34","T-API","CO",6.013,"6 ppm","D"
"08/27/25 12:35","T-API","CO",6.03,"6 ppm","D"
"08/27/25 12:36","T-API","CO",6.056,"6 ppm","D"
"08/27/25 12:37","T-API","CO",6.066,"6 ppm","D"
"08/27/25 12:38","T-API","CO",6.086,"6 ppm","D"
"08/27/25 12:39","T-API","CO",6.1,"6 ppm","D"
"08/27/25 12:40","T-API","CO",6.1,"6 ppm","D"
"08/27/25 12:41","T-API","CO",6.09,"6 ppm","D"
"08/27/25 12:42","T-API","CO",6.1,"6 ppm","D"
"08/27/25 12:43","T-API","CO",6.11,"6 ppm","D"
"08/27/25 12:44","T-API","CO",6.117,"6 ppm","D"
"08/27/25 12:45","T-API","CO",6.094,"6 ppm","D"
"08/27/25 12:46","T-API","CO",6.077,"6 ppm","D"
"08/27/25 12:47","T-API","CO",6.08,"6 ppm","D"
"08/27/25 12:48","T-API","CO",6.09,"6 ppm","D"
"08/27/25 12:49","T-API","CO",6.093,"6 ppm","D"
"08/27/25 12:50","T-API","CO",6.09,"6 ppm","D"
"08/27/25 12:51","T-API","CO",6.1,"6 ppm","D"
"08/27/25 12:52","T-API","CO",6.11,"6 ppm","D"
"08/27/25 12:53","T-API","CO",6.107,"6 ppm","D"
"08/27/25 12:54","T-API","CO",6.1,"6 ppm","D"
"08/27/25 12:55","T-API","CO",6.068,"6 ppm","D"
"08/27/25 12:56","T-API","CO",6.028,"6 ppm","D"
"08/27/25 12:57","T-API","CO",6.014,"6 ppm","D"
"08/27/25 12:58","T-API","CO",6.033,"6 ppm","D"
"08/27/25 12:59","T-API","CO",6.057,"6 ppm","D"
"08/27/25 13:00","T-API","CO",6.073,"6 ppm","D"
"08/27/25 13:01","T-API","CO",6.08,"6 ppm","D"
"08/27/25 13:02","T-API","CO",6.08,"6 ppm","D"
