"date","device","poll","conc","vg","conex"
"9/3/25 8:36","T-API","CO",0.025,NA,"M"
"9/3/25 8:37","T-API","CO",5.621,NA,"M"
"9/3/25 10:10","T-API","CO",7.835,NA,"M"
"9/3/25 10:11","T-API","CO",7.152,NA,"M"
"9/3/25 10:12","T-API","CO",6.487,NA,"M"
"9/3/25 10:13","T-API","CO",6.179,NA,"M"
"9/3/25 10:14","T-API","CO",6.141,NA,"M"
"9/3/25 10:15","T-API","CO",6.137,NA,"M"
"9/3/25 10:16","T-API","CO",6.14,NA,"M"
"9/3/25 11:41","T-API","CO",5.643,NA,"M"
"9/3/25 11:42","T-API","CO",4.912,NA,"M"
"9/3/25 11:43","T-API","CO",4.256,NA,"M"
"9/3/25 11:44","T-API","CO",4.051,NA,"M"
"9/3/25 11:45","T-API","CO",4.034,NA,"M"
"9/3/25 13:10","T-API","CO",3.807,NA,"M"
"9/3/25 13:11","T-API","CO",3.155,NA,"M"
"9/3/25 13:12","T-API","CO",2.481,NA,"M"
"9/3/25 13:13","T-API","CO",2.123,NA,"M"
