"date","device","poll","conc","vg","conex"
"8/11/25 7:41","APNA-370","NO2",0.72,"0 ppb","M"
"8/11/25 7:42","APNA-370","NO2",0.09,"0 ppb","M"
"8/11/25 7:43","APNA-370","NO2",-0.46,"0 ppb","M"
"8/11/25 7:44","APNA-370","NO2",-0.13,"0 ppb","M"
"8/11/25 7:45","APNA-370","NO2",-0.07,"0 ppb","M"
"8/11/25 7:46","APNA-370","NO2",1.37,"0 ppb","M"
"8/11/25 7:47","APNA-370","NO2",2.94,"0 ppb","M"
"8/11/25 7:48","APNA-370","NO2",1.87,"0 ppb","M"
"8/11/25 7:49","APNA-370","NO2",0.05,"0 ppb","M"
"8/11/25 7:50","APNA-370","NO2",-0.39,"0 ppb","M"
"8/11/25 7:51","APNA-370","NO2",-0.11,"0 ppb","M"
"8/11/25 7:52","APNA-370","NO2",-0.08,"0 ppb","M"
"8/11/25 7:53","APNA-370","NO2",0.17,"0 ppb","M"
"8/11/25 7:54","APNA-370","NO2",0.08,"0 ppb","M"
"8/11/25 7:55","APNA-370","NO2",-0.13,"0 ppb","M"
"8/11/25 7:56","APNA-370","NO2",-0.01,"0 ppb","M"
"8/11/25 7:57","APNA-370","NO2",-0.43,"0 ppb","M"
"8/11/25 7:58","APNA-370","NO2",-0.18,"0 ppb","M"
"8/11/25 7:59","APNA-370","NO2",0.02,"0 ppb","M"
"8/11/25 8:00","APNA-370","NO2",-0.16,"0 ppb","M"
"8/11/25 8:01","APNA-370","NO2",-0.17,"0 ppb","M"
"8/11/25 8:02","APNA-370","NO2",0.17,"0 ppb","M"
"8/11/25 8:03","APNA-370","NO2",-0.13,"0 ppb","M"
"8/11/25 8:04","APNA-370","NO2",-0.29,"0 ppb","M"
"8/11/25 8:05","APNA-370","NO2",-0.29,"0 ppb","M"
"8/11/25 8:06","APNA-370","NO2",-0.53,"0 ppb","M"
"8/11/25 8:07","APNA-370","NO2",-0.3,"0 ppb","M"
"8/11/25 8:08","APNA-370","NO2",-0.13,"0 ppb","M"
"8/11/25 8:09","APNA-370","NO2",-0.15,"0 ppb","M"
"8/11/25 8:10","APNA-370","NO2",-0.29,"0 ppb","M"
"8/11/25 8:11","APNA-370","NO2",-0.74,"0 ppb","M"
"8/11/25 8:12","APNA-370","NO2",-0.42,"0 ppb","M"
"8/11/25 8:13","APNA-370","NO2",-0.2,"0 ppb","M"
"8/11/25 8:14","APNA-370","NO2",-0.03,"0 ppb","M"
"8/11/25 8:15","APNA-370","NO2",-0.3,"0 ppb","M"
"8/11/25 8:16","APNA-370","NO2",-0.01,"0 ppb","M"
"8/11/25 8:17","APNA-370","NO2",-0.11,"0 ppb","M"
"8/11/25 8:18","APNA-370","NO2",-0.4,"0 ppb","M"
"8/11/25 8:19","APNA-370","NO2",-0.51,"0 ppb","M"
"8/11/25 8:20","APNA-370","NO2",-0.1,"0 ppb","M"
"8/11/25 8:21","APNA-370","NO2",-0.4,"0 ppb","M"
"8/11/25 8:22","APNA-370","NO2",0,"0 ppb","M"
"8/11/25 8:23","APNA-370","NO2",0.06,"0 ppb","M"
"8/11/25 8:24","APNA-370","NO2",-0.26,"0 ppb","M"
"8/11/25 8:25","APNA-370","NO2",-0.05,"0 ppb","M"
"8/11/25 8:26","APNA-370","NO2",-0.27,"0 ppb","M"
"8/11/25 8:27","APNA-370","NO2",-0.41,"0 ppb","M"
"8/11/25 8:28","APNA-370","NO2",-0.2,"0 ppb","M"
"8/11/25 8:29","APNA-370","NO2",-0.08,"0 ppb","M"
"8/11/25 8:30","APNA-370","NO2",-0.23,"0 ppb","M"
"8/11/25 8:31","APNA-370","NO2",-0.08,"0 ppb","M"
"8/11/25 8:32","APNA-370","NO2",-0.37,"0 ppb","M"
"8/11/25 8:33","APNA-370","NO2",-0.03,"0 ppb","M"
"8/11/25 8:34","APNA-370","NO2",-0.16,"0 ppb","M"
"8/11/25 8:35","APNA-370","NO2",-0.3,"0 ppb","M"
"8/11/25 8:36","APNA-370","NO2",-0.19,"0 ppb","M"
"8/11/25 8:37","APNA-370","NO2",0.09,"0 ppb","M"
"8/11/25 8:38","APNA-370","NO2",-0.45,"0 ppb","M"
"8/11/25 8:39","APNA-370","NO2",-0.9,"0 ppb","M"
"8/11/25 8:40","APNA-370","NO2",-0.86,"0 ppb","M"
"8/11/25 8:41","APNA-370","NO2",-0.53,"0 ppb","M"
"8/11/25 8:42","APNA-370","NO2",-0.77,"0 ppb","M"
"8/11/25 8:43","APNA-370","NO2",-0.36,"0 ppb","M"
"8/11/25 8:44","APNA-370","NO2",-0.1,"0 ppb","M"
"8/11/25 8:45","APNA-370","NO2",-0.21,"0 ppb","M"
"8/11/25 8:46","APNA-370","NO2",-0.57,"0 ppb","M"
"8/11/25 8:47","APNA-370","NO2",-0.4,"0 ppb","M"
"8/11/25 8:48","APNA-370","NO2",-0.04,"0 ppb","M"
"8/11/25 8:49","APNA-370","NO2",-0.24,"0 ppb","M"
"8/11/25 8:50","APNA-370","NO2",-0.36,"0 ppb","M"
"8/11/25 8:51","APNA-370","NO2",-0.5,"0 ppb","M"
"8/11/25 8:52","APNA-370","NO2",-0.43,"0 ppb","M"
"8/11/25 8:53","APNA-370","NO2",-0.12,"0 ppb","M"
"8/11/25 8:54","APNA-370","NO2",-0.3,"0 ppb","M"
"8/11/25 8:55","APNA-370","NO2",-0.9,"0 ppb","M"
"8/11/25 8:56","APNA-370","NO2",-0.72,"0 ppb","M"
"8/11/25 8:57","APNA-370","NO2",-0.64,"0 ppb","M"
"8/11/25 8:58","APNA-370","NO2",-0.8,"0 ppb","M"
"8/11/25 8:59","APNA-370","NO2",-0.48,"0 ppb","M"
"8/11/25 9:00","APNA-370","NO2",-0.55,"0 ppb","M"
"8/11/25 9:01","APNA-370","NO2",-0.53,"0 ppb","M"
"8/11/25 9:02","APNA-370","NO2",0.11,"0 ppb","M"
"8/11/25 9:03","APNA-370","NO2",0.37,"0 ppb","M"
"8/11/25 9:04","APNA-370","NO2",-0.28,"0 ppb","M"
"8/11/25 9:05","APNA-370","NO2",-0.6,"0 ppb","M"
"8/11/25 9:06","APNA-370","NO2",-0.92,"0 ppb","M"
"8/11/25 9:07","APNA-370","NO2",-0.88,"0 ppb","M"
"8/11/25 9:08","APNA-370","NO2",-0.91,"0 ppb","M"
"8/12/25 12:19","APNA-370","NO2",0.53,"0 ppb","M"
"8/12/25 12:20","APNA-370","NO2",0.48,"0 ppb","M"
"8/12/25 12:21","APNA-370","NO2",0.03,"0 ppb","M"
"8/12/25 12:22","APNA-370","NO2",0.04,"0 ppb","M"
"8/12/25 12:23","APNA-370","NO2",0.28,"0 ppb","M"
"8/12/25 12:24","APNA-370","NO2",0.51,"0 ppb","M"
"8/12/25 12:25","APNA-370","NO2",0.72,"0 ppb","M"
"8/12/25 12:26","APNA-370","NO2",0.83,"0 ppb","M"
"8/12/25 12:27","APNA-370","NO2",1.12,"0 ppb","M"
"8/12/25 12:28","APNA-370","NO2",1.16,"0 ppb","M"
"8/12/25 12:29","APNA-370","NO2",0.8,"0 ppb","M"
"8/12/25 12:30","APNA-370","NO2",0.69,"0 ppb","M"
"8/12/25 12:31","APNA-370","NO2",0.69,"0 ppb","M"
"8/12/25 12:32","APNA-370","NO2",1.27,"0 ppb","M"
"8/12/25 12:33","APNA-370","NO2",0.95,"0 ppb","M"
"8/12/25 12:34","APNA-370","NO2",0.13,"0 ppb","M"
"8/12/25 12:35","APNA-370","NO2",0.01,"0 ppb","M"
"8/12/25 12:36","APNA-370","NO2",0.53,"0 ppb","M"
"8/12/25 12:37","APNA-370","NO2",0.33,"0 ppb","M"
"8/12/25 12:38","APNA-370","NO2",-0.03,"0 ppb","M"
"8/12/25 12:39","APNA-370","NO2",0.28,"0 ppb","M"
"8/12/25 12:40","APNA-370","NO2",0.81,"0 ppb","M"
"8/12/25 12:41","APNA-370","NO2",0.5,"0 ppb","M"
"8/12/25 12:42","APNA-370","NO2",0.67,"0 ppb","M"
"8/12/25 12:43","APNA-370","NO2",0.75,"0 ppb","M"
"8/12/25 12:44","APNA-370","NO2",0.72,"0 ppb","M"
"8/12/25 12:45","APNA-370","NO2",0.94,"0 ppb","M"
"8/12/25 12:46","APNA-370","NO2",0.54,"0 ppb","M"
"8/12/25 12:47","APNA-370","NO2",0.38,"0 ppb","M"
"8/12/25 12:48","APNA-370","NO2",0.84,"0 ppb","M"
"8/12/25 12:49","APNA-370","NO2",1.29,"0 ppb","M"
"8/12/25 12:50","APNA-370","NO2",1.45,"0 ppb","M"
"8/12/25 12:51","APNA-370","NO2",0.99,"0 ppb","M"
"8/12/25 12:52","APNA-370","NO2",0.92,"0 ppb","M"
"8/12/25 12:53","APNA-370","NO2",1.16,"0 ppb","M"
"8/12/25 12:54","APNA-370","NO2",1.25,"0 ppb","M"
"8/12/25 12:55","APNA-370","NO2",0.57,"0 ppb","M"
"8/12/25 12:56","APNA-370","NO2",0.45,"0 ppb","M"
"8/12/25 12:57","APNA-370","NO2",0.57,"0 ppb","M"
"8/12/25 12:58","APNA-370","NO2",0.66,"0 ppb","M"
"8/12/25 12:59","APNA-370","NO2",0.89,"0 ppb","M"
"8/12/2025 13:00 PM","APNA-370","NO2",0.79,"0 ppb","M"
"8/12/2025 13:01 PM","APNA-370","NO2",0.58,"0 ppb","M"
"8/12/2025 13:02 PM","APNA-370","NO2",0.45,"0 ppb","M"
"8/12/2025 13:03 PM","APNA-370","NO2",0.66,"0 ppb","M"
"8/12/2025 13:04 PM","APNA-370","NO2",0.58,"0 ppb","M"
"8/12/2025 13:05 PM","APNA-370","NO2",0.89,"0 ppb","M"
"8/12/2025 13:06 PM","APNA-370","NO2",1.03,"0 ppb","M"
"8/12/2025 13:07 PM","APNA-370","NO2",1.58,"0 ppb","M"
"8/12/2025 13:08 PM","APNA-370","NO2",1.17,"0 ppb","M"
"8/12/2025 13:09 PM","APNA-370","NO2",0.62,"0 ppb","M"
"8/12/2025 13:10 PM","APNA-370","NO2",1.18,"0 ppb","M"
"8/12/2025 13:11 PM","APNA-370","NO2",1.09,"0 ppb","M"
"8/12/2025 13:12 PM","APNA-370","NO2",1.17,"0 ppb","M"
"8/12/2025 13:13 PM","APNA-370","NO2",0.97,"0 ppb","M"
"8/12/2025 13:14 PM","APNA-370","NO2",1.19,"0 ppb","M"
"8/12/2025 13:15 PM","APNA-370","NO2",0.86,"0 ppb","M"
"8/12/2025 13:16 PM","APNA-370","NO2",0.27,"0 ppb","M"
"8/12/2025 13:17 PM","APNA-370","NO2",0.16,"0 ppb","M"
