"date","device","poll","conc","vg","conex"
"8/8/2025 13:39 PM","APNA-370","NO2",33.24,"30 ppb","D"
"8/8/2025 13:40 PM","APNA-370","NO2",32.24,"30 ppb","D"
"8/8/2025 13:41 PM","APNA-370","NO2",32.49,"30 ppb","D"
"8/8/2025 13:42 PM","APNA-370","NO2",33.06,"30 ppb","D"
"8/8/2025 13:43 PM","APNA-370","NO2",33.13,"30 ppb","D"
"8/8/2025 13:44 PM","APNA-370","NO2",32.82,"30 ppb","D"
"8/8/2025 13:45 PM","APNA-370","NO2",32.19,"30 ppb","D"
"8/8/2025 13:46 PM","APNA-370","NO2",32.31,"30 ppb","D"
"8/8/2025 13:47 PM","APNA-370","NO2",32.65,"30 ppb","D"
"8/8/2025 13:48 PM","APNA-370","NO2",32.38,"30 ppb","D"
"8/8/2025 13:49 PM","APNA-370","NO2",32.93,"30 ppb","D"
"8/8/2025 13:50 PM","APNA-370","NO2",33.43,"30 ppb","D"
"8/8/2025 13:51 PM","APNA-370","NO2",33.07,"30 ppb","D"
"8/8/2025 13:52 PM","APNA-370","NO2",32.67,"30 ppb","D"
"8/8/2025 13:53 PM","APNA-370","NO2",32.31,"30 ppb","D"
"8/8/2025 13:54 PM","APNA-370","NO2",32.14,"30 ppb","D"
"8/8/2025 13:55 PM","APNA-370","NO2",32.62,"30 ppb","D"
"8/8/2025 13:56 PM","APNA-370","NO2",33.31,"30 ppb","D"
"8/8/2025 13:57 PM","APNA-370","NO2",33.35,"30 ppb","D"
"8/8/2025 13:58 PM","APNA-370","NO2",33.1,"30 ppb","D"
"8/8/2025 13:59 PM","APNA-370","NO2",33.11,"30 ppb","D"
"8/8/2025 14:00 PM","APNA-370","NO2",33.12,"30 ppb","D"
"8/8/2025 14:01 PM","APNA-370","NO2",32.63,"30 ppb","D"
"8/8/2025 14:02 PM","APNA-370","NO2",32.74,"30 ppb","D"
"8/8/2025 14:03 PM","APNA-370","NO2",32.95,"30 ppb","D"
"8/8/2025 14:04 PM","APNA-370","NO2",32.82,"30 ppb","D"
"8/8/2025 14:05 PM","APNA-370","NO2",32.96,"30 ppb","D"
"8/8/2025 14:06 PM","APNA-370","NO2",32.73,"30 ppb","D"
"8/8/2025 14:07 PM","APNA-370","NO2",32.84,"30 ppb","D"
"8/8/2025 14:08 PM","APNA-370","NO2",32.39,"30 ppb","D"
"8/8/2025 14:09 PM","APNA-370","NO2",32.23,"30 ppb","D"
"8/8/2025 14:10 PM","APNA-370","NO2",33.05,"30 ppb","D"
"8/8/2025 14:11 PM","APNA-370","NO2",32.63,"30 ppb","D"
"8/8/2025 14:12 PM","APNA-370","NO2",32.64,"30 ppb","D"
"8/8/2025 14:13 PM","APNA-370","NO2",32.53,"30 ppb","D"
"8/8/2025 14:14 PM","APNA-370","NO2",32.26,"30 ppb","D"
"8/8/2025 14:15 PM","APNA-370","NO2",32.66,"30 ppb","D"
"8/8/2025 14:16 PM","APNA-370","NO2",33.08,"30 ppb","D"
"8/8/2025 14:17 PM","APNA-370","NO2",33.16,"30 ppb","D"
"8/8/2025 14:18 PM","APNA-370","NO2",33.23,"30 ppb","D"
"8/8/2025 14:19 PM","APNA-370","NO2",33.22,"30 ppb","D"
"8/8/2025 14:20 PM","APNA-370","NO2",33,"30 ppb","D"
"8/8/2025 14:21 PM","APNA-370","NO2",33.03,"30 ppb","D"
"8/8/2025 14:22 PM","APNA-370","NO2",32.29,"30 ppb","D"
"8/8/2025 14:23 PM","APNA-370","NO2",32.63,"30 ppb","D"
"8/8/2025 14:24 PM","APNA-370","NO2",33.39,"30 ppb","D"
"8/8/2025 14:25 PM","APNA-370","NO2",33.21,"30 ppb","D"
"8/8/2025 14:26 PM","APNA-370","NO2",33.23,"30 ppb","D"
"8/8/2025 14:27 PM","APNA-370","NO2",32.96,"30 ppb","D"
"8/8/2025 14:28 PM","APNA-370","NO2",32.81,"30 ppb","D"
"8/8/2025 14:29 PM","APNA-370","NO2",32.99,"30 ppb","D"
"8/8/2025 14:30 PM","APNA-370","NO2",32.94,"30 ppb","D"
"8/8/2025 14:31 PM","APNA-370","NO2",33.36,"30 ppb","D"
"8/8/2025 14:32 PM","APNA-370","NO2",32.77,"30 ppb","D"
"8/8/2025 14:33 PM","APNA-370","NO2",32.97,"30 ppb","D"
"8/8/2025 14:34 PM","APNA-370","NO2",33,"30 ppb","D"
"8/8/2025 14:35 PM","APNA-370","NO2",32.71,"30 ppb","D"
"8/8/2025 14:36 PM","APNA-370","NO2",32.46,"30 ppb","D"
"8/8/2025 14:37 PM","APNA-370","NO2",32.83,"30 ppb","D"
"8/8/2025 14:38 PM","APNA-370","NO2",33.16,"30 ppb","D"
"8/8/2025 14:39 PM","APNA-370","NO2",33.03,"30 ppb","D"
"8/8/2025 14:40 PM","APNA-370","NO2",32.82,"30 ppb","D"
"8/8/2025 14:41 PM","APNA-370","NO2",33.23,"30 ppb","D"
"8/8/2025 14:42 PM","APNA-370","NO2",32.88,"30 ppb","D"
"8/8/2025 14:43 PM","APNA-370","NO2",32.24,"30 ppb","D"
"8/8/2025 14:44 PM","APNA-370","NO2",32.39,"30 ppb","D"
"8/8/2025 14:45 PM","APNA-370","NO2",33.27,"30 ppb","D"
"8/8/2025 14:46 PM","APNA-370","NO2",33.22,"30 ppb","D"
"8/8/2025 14:47 PM","APNA-370","NO2",32.84,"30 ppb","D"
"8/8/2025 14:48 PM","APNA-370","NO2",33.31,"30 ppb","D"
"8/8/2025 14:49 PM","APNA-370","NO2",33.39,"30 ppb","D"
"8/8/2025 14:50 PM","APNA-370","NO2",33.11,"30 ppb","D"
"8/8/2025 14:51 PM","APNA-370","NO2",32.95,"30 ppb","D"
"8/8/2025 14:52 PM","APNA-370","NO2",33.04,"30 ppb","D"
"8/8/2025 14:53 PM","APNA-370","NO2",32.7,"30 ppb","D"
"8/8/2025 14:54 PM","APNA-370","NO2",32.87,"30 ppb","D"
"8/8/2025 14:55 PM","APNA-370","NO2",33.41,"30 ppb","D"
"8/8/2025 14:56 PM","APNA-370","NO2",33.36,"30 ppb","D"
"8/8/2025 14:57 PM","APNA-370","NO2",33.29,"30 ppb","D"
"8/8/2025 14:58 PM","APNA-370","NO2",33.62,"30 ppb","D"
"8/8/2025 14:59 PM","APNA-370","NO2",33.29,"30 ppb","D"
"8/8/2025 15:01 PM","APNA-370","NO2",33.44,"30 ppb","D"
"8/8/2025 15:02 PM","APNA-370","NO2",33.53,"30 ppb","D"
"8/8/2025 15:03 PM","APNA-370","NO2",33.76,"30 ppb","D"
