"date","device","poll","conc","vg","conex"
"8/6/25 12:58","APNA-370","NO2",1.67,NA,"D"
"8/6/25 12:59","APNA-370","NO2",17.85,NA,"D"
"8/6/25 13:00","APNA-370","NO2",67.83,NA,"D"
"8/6/25 13:01","APNA-370","NO2",108.5,NA,"D"
"8/6/2025 14:21 PM","APNA-370","NO2",125,NA,"D"
"8/6/2025 14:22 PM","APNA-370","NO2",89.6,NA,"D"
"8/6/2025 14:23 PM","APNA-370","NO2",8.15,NA,"D"
"8/6/2025 14:24 PM","APNA-370","NO2",2.44,NA,"D"
"8/6/2025 16:32 PM","APNA-370","NO2",13.07,NA,"D"
"8/6/2025 16:33 PM","APNA-370","NO2",60.79,NA,"D"
"8/6/2025 16:34 PM","APNA-370","NO2",96.37,NA,"D"
"8/8/25 8:50","APNA-370","NO2",0.93,NA,"D"
"8/8/25 8:51","APNA-370","NO2",1.25,NA,"D"
"8/8/25 8:52","APNA-370","NO2",5.24,NA,"D"
"8/8/25 8:53","APNA-370","NO2",15.87,NA,"D"
"8/8/25 8:54","APNA-370","NO2",22.58,NA,"D"
"8/8/25 8:55","APNA-370","NO2",17.23,NA,"D"
"8/8/25 8:56","APNA-370","NO2",11.47,NA,"D"
"8/8/25 8:57","APNA-370","NO2",7.37,NA,"D"
"8/8/25 8:58","APNA-370","NO2",5.2,NA,"D"
"8/8/25 8:59","APNA-370","NO2",3.64,NA,"D"
"8/8/25 9:00","APNA-370","NO2",2.88,NA,"D"
"8/8/25 9:01","APNA-370","NO2",2.3,NA,"D"
"8/8/25 9:02","APNA-370","NO2",1.21,NA,"D"
"8/8/25 11:07","APNA-370","NO2",4.78,NA,"D"
"8/8/25 11:08","APNA-370","NO2",28.51,NA,"D"
"8/8/25 11:09","APNA-370","NO2",64.3,NA,"D"
"8/8/25 12:41","APNA-370","NO2",72.36,NA,"D"
"8/8/25 12:42","APNA-370","NO2",39.41,NA,"D"
"8/8/2025 13:36 PM","APNA-370","NO2",5.15,NA,"D"
"8/8/2025 13:37 PM","APNA-370","NO2",18.6,NA,"D"
"8/8/2025 13:38 PM","APNA-370","NO2",32.59,NA,"D"
"8/8/2025 15:04 PM","APNA-370","NO2",35.4,NA,"D"
"8/8/2025 15:05 PM","APNA-370","NO2",17.35,NA,"D"
