"date","device","poll","c","vg","conex"
"8/11/25 7:41","APNA-370","NO",0.87,"0 ppb","M"
"8/11/25 7:42","APNA-370","NO",0.67,"0 ppb","M"
"8/11/25 7:43","APNA-370","NO",0.6,"0 ppb","M"
"8/11/25 7:44","APNA-370","NO",0.76,"0 ppb","M"
"8/11/25 7:45","APNA-370","NO",0.3,"0 ppb","M"
"8/11/25 7:46","APNA-370","NO",-2.06,"0 ppb","M"
"8/11/25 7:47","APNA-370","NO",-6.18,"0 ppb","M"
"8/11/25 7:48","APNA-370","NO",-2.13,"0 ppb","M"
"8/11/25 7:49","APNA-370","NO",0.94,"0 ppb","M"
"8/11/25 7:50","APNA-370","NO",0.72,"0 ppb","M"
"8/11/25 7:51","APNA-370","NO",0.3,"0 ppb","M"
"8/11/25 7:52","APNA-370","NO",0.88,"0 ppb","M"
"8/11/25 7:53","APNA-370","NO",1.15,"0 ppb","M"
"8/11/25 7:54","APNA-370","NO",0.74,"0 ppb","M"
"8/11/25 7:55","APNA-370","NO",0.23,"0 ppb","M"
"8/11/25 7:56","APNA-370","NO",0.22,"0 ppb","M"
"8/11/25 7:57","APNA-370","NO",0.29,"0 ppb","M"
"8/11/25 7:58","APNA-370","NO",0.64,"0 ppb","M"
"8/11/25 7:59","APNA-370","NO",1.02,"0 ppb","M"
"8/11/25 8:00","APNA-370","NO",0.8,"0 ppb","M"
"8/11/25 8:01","APNA-370","NO",0.44,"0 ppb","M"
"8/11/25 8:02","APNA-370","NO",0.16,"0 ppb","M"
"8/11/25 8:03","APNA-370","NO",0.37,"0 ppb","M"
"8/11/25 8:04","APNA-370","NO",0.91,"0 ppb","M"
"8/11/25 8:05","APNA-370","NO",0.95,"0 ppb","M"
"8/11/25 8:06","APNA-370","NO",0.94,"0 ppb","M"
"8/11/25 8:07","APNA-370","NO",1,"0 ppb","M"
"8/11/25 8:08","APNA-370","NO",0.82,"0 ppb","M"
"8/11/25 8:09","APNA-370","NO",1.04,"0 ppb","M"
"8/11/25 8:10","APNA-370","NO",0.99,"0 ppb","M"
"8/11/25 8:11","APNA-370","NO",1.23,"0 ppb","M"
"8/11/25 8:12","APNA-370","NO",0.87,"0 ppb","M"
"8/11/25 8:13","APNA-370","NO",0.91,"0 ppb","M"
"8/11/25 8:14","APNA-370","NO",1.06,"0 ppb","M"
"8/11/25 8:15","APNA-370","NO",0.73,"0 ppb","M"
"8/11/25 8:16","APNA-370","NO",0.42,"0 ppb","M"
"8/11/25 8:17","APNA-370","NO",0.69,"0 ppb","M"
"8/11/25 8:18","APNA-370","NO",0.86,"0 ppb","M"
"8/11/25 8:19","APNA-370","NO",0.77,"0 ppb","M"
