"date","device","poll","c","vg","conex"
"8/8/25 12:43","APNA-370","NO",80.63,"81 ppb","D"
"8/8/25 12:44","APNA-370","NO",80.52,"81 ppb","D"
"8/8/25 12:45","APNA-370","NO",80.42,"81 ppb","D"
"8/8/25 12:46","APNA-370","NO",80.2,"81 ppb","D"
"8/8/25 12:47","APNA-370","NO",80.37,"81 ppb","D"
"8/8/25 12:48","APNA-370","NO",80.51,"81 ppb","D"
"8/8/25 12:49","APNA-370","NO",80.18,"81 ppb","D"
"8/8/25 12:50","APNA-370","NO",80.76,"81 ppb","D"
"8/8/25 12:51","APNA-370","NO",81.12,"81 ppb","D"
"8/8/25 12:52","APNA-370","NO",80.41,"81 ppb","D"
"8/8/25 12:53","APNA-370","NO",80.58,"81 ppb","D"
"8/8/25 12:54","APNA-370","NO",80.34,"81 ppb","D"
"8/8/25 12:55","APNA-370","NO",80.13,"81 ppb","D"
"8/8/25 12:56","APNA-370","NO",80.44,"81 ppb","D"
"8/8/25 12:57","APNA-370","NO",80.56,"81 ppb","D"
"8/8/25 12:58","APNA-370","NO",80.55,"81 ppb","D"
"8/8/25 12:59","APNA-370","NO",80.84,"81 ppb","D"
"8/8/2025 13:00 PM","APNA-370","NO",80.84,"81 ppb","D"
"8/8/2025 13:01 PM","APNA-370","NO",80.41,"81 ppb","D"
"8/8/2025 13:02 PM","APNA-370","NO",80.69,"81 ppb","D"
"8/8/2025 13:03 PM","APNA-370","NO",80.83,"81 ppb","D"
"8/8/2025 13:04 PM","APNA-370","NO",81.15,"81 ppb","D"
"8/8/2025 13:05 PM","APNA-370","NO",80.99,"81 ppb","D"
"8/8/2025 13:06 PM","APNA-370","NO",80.83,"81 ppb","D"
"8/8/2025 13:07 PM","APNA-370","NO",80.37,"81 ppb","D"
"8/8/2025 13:08 PM","APNA-370","NO",80.06,"81 ppb","D"
"8/8/2025 13:09 PM","APNA-370","NO",80.36,"81 ppb","D"
"8/8/2025 13:10 PM","APNA-370","NO",80.6,"81 ppb","D"
"8/8/2025 13:11 PM","APNA-370","NO",81.15,"81 ppb","D"
"8/8/2025 13:12 PM","APNA-370","NO",81.2,"81 ppb","D"
"8/8/2025 13:13 PM","APNA-370","NO",80.48,"81 ppb","D"
"8/8/2025 13:14 PM","APNA-370","NO",80.77,"81 ppb","D"
"8/8/2025 13:15 PM","APNA-370","NO",81.25,"81 ppb","D"
"8/8/2025 13:16 PM","APNA-370","NO",81.09,"81 ppb","D"
"8/8/2025 13:17 PM","APNA-370","NO",80.9,"81 ppb","D"
"8/8/2025 13:18 PM","APNA-370","NO",80.83,"81 ppb","D"
"8/8/2025 13:19 PM","APNA-370","NO",80.87,"81 ppb","D"
"8/8/2025 13:20 PM","APNA-370","NO",80.41,"81 ppb","D"
"8/8/2025 13:21 PM","APNA-370","NO",80.26,"81 ppb","D"
"8/8/2025 13:22 PM","APNA-370","NO",80.6,"81 ppb","D"
"8/8/2025 13:23 PM","APNA-370","NO",80.79,"81 ppb","D"
"8/8/2025 13:24 PM","APNA-370","NO",80.59,"81 ppb","D"
"8/8/2025 13:25 PM","APNA-370","NO",80.85,"81 ppb","D"
"8/8/2025 13:26 PM","APNA-370","NO",81.29,"81 ppb","D"
"8/8/2025 13:27 PM","APNA-370","NO",80.89,"81 ppb","D"
"8/8/2025 13:28 PM","APNA-370","NO",80.92,"81 ppb","D"
"8/8/2025 13:29 PM","APNA-370","NO",80.72,"81 ppb","D"
"8/8/2025 13:30 PM","APNA-370","NO",80.43,"81 ppb","D"
"8/8/2025 13:31 PM","APNA-370","NO",80.64,"81 ppb","D"
"8/8/2025 13:32 PM","APNA-370","NO",80.97,"81 ppb","D"
"8/8/2025 13:33 PM","APNA-370","NO",80.96,"81 ppb","D"
"8/8/2025 13:34 PM","APNA-370","NO",81.01,"81 ppb","D"
