"date","device","poll","c","vg","conex"
"8/6/25 11:20","APNA-370","NO",8.18,NA,"D"
"8/6/25 11:21","APNA-370","NO",37.67,NA,"D"
"8/6/25 11:22","APNA-370","NO",63.76,NA,"D"
"8/6/25 11:23","APNA-370","NO",115.4,NA,"D"
"8/6/25 11:24","APNA-370","NO",154.6,NA,"D"
"8/6/25 11:25","APNA-370","NO",170,NA,"D"
"8/6/25 12:58","APNA-370","NO",171.7,NA,"D"
"8/6/25 12:59","APNA-370","NO",84.69,NA,"D"
"8/6/25 13:00","APNA-370","NO",43.63,NA,"D"
"8/6/25 13:01","APNA-370","NO",65.86,NA,"D"
"8/6/2025 14:21 PM","APNA-370","NO",78.9,NA,"D"
"8/6/2025 14:22 PM","APNA-370","NO",122.6,NA,"D"
"8/6/2025 14:23 PM","APNA-370","NO",171.1,NA,"D"
"8/6/2025 14:24 PM","APNA-370","NO",121,NA,"D"
"8/6/2025 14:25 PM","APNA-370","NO",121,NA,"D"
"8/6/2025 16:31 PM","APNA-370","NO",118.3,NA,"D"
"8/6/2025 16:32 PM","APNA-370","NO",61.91,NA,"D"
"8/6/2025 16:33 PM","APNA-370","NO",13.25,NA,"D"
"8/6/2025 16:34 PM","APNA-370","NO",27.82,NA,"D"
"8/8/25 8:50","APNA-370","NO",0.4,NA,"D"
"8/8/25 8:51","APNA-370","NO",2.08,NA,"D"
"8/8/25 8:52","APNA-370","NO",8.45,NA,"D"
"8/8/25 8:53","APNA-370","NO",14.61,NA,"D"
"8/8/25 8:54","APNA-370","NO",28.52,NA,"D"
"8/8/25 8:55","APNA-370","NO",62.38,NA,"D"
"8/8/25 8:56","APNA-370","NO",90.39,NA,"D"
"8/8/25 8:57","APNA-370","NO",104.4,NA,"D"
"8/8/25 11:06","APNA-370","NO",121,NA,"D"
"8/8/25 11:07","APNA-370","NO",84.55,NA,"D"
"8/8/25 11:08","APNA-370","NO",15.01,NA,"D"
"8/8/25 11:09","APNA-370","NO",9.51,NA,"D"
"8/8/25 12:41","APNA-370","NO",49.43,NA,"D"
"8/8/25 12:42","APNA-370","NO",83.5,NA,"D"
"8/8/2025 13:35 PM","APNA-370","NO",78.17,NA,"D"
"8/8/2025 13:36 PM","APNA-370","NO",38.18,NA,"D"
"8/8/2025 13:37 PM","APNA-370","NO",2.96,NA,"D"
"8/8/2025 13:38 PM","APNA-370","NO",4.08,NA,"D"
"8/8/2025 15:04 PM","APNA-370","NO",19.17,NA,"D"
"8/8/2025 15:05 PM","APNA-370","NO",37.99,NA,"D"
