"date","device","poll","conc","vg","conex"
"8/22/25 9:55","49C","O3","121.425","120 ppb","M"
"8/22/25 9:56","49C","O3","121.225","120 ppb","M"
"8/22/25 9:57","49C","O3","119.647","120 ppb","M"
"8/22/25 9:58","49C","O3","119.325","120 ppb","M"
"8/22/25 9:59","49C","O3","119.117","120 ppb","M"
"8/22/25 10:00","49C","O3","119.575","120 ppb","M"
"8/22/25 10:01","49C","O3","119.903","120 ppb","M"
"8/22/25 10:02","49C","O3","119.717","120 ppb","M"
"8/22/25 10:03","49C","O3","119.517","120 ppb","M"
"8/22/25 10:04","49C","O3","119.555","120 ppb","M"
"8/22/25 10:05","49C","O3","118.913","120 ppb","M"
"8/22/25 10:06","49C","O3","118.840","120 ppb","M"
"8/22/25 10:07","49C","O3","118.773","120 ppb","M"
"8/22/25 10:08","49C","O3","119.267","120 ppb","M"
"8/22/25 10:09","49C","O3","118.953","120 ppb","M"
"8/22/25 10:10","49C","O3","118.913","120 ppb","M"
"8/22/25 10:11","49C","O3","118.707","120 ppb","M"
"8/22/25 10:12","49C","O3","119.353","120 ppb","M"
"8/22/25 10:13","49C","O3","119.833","120 ppb","M"
"8/22/25 10:14","49C","O3","119.867","120 ppb","M"
"8/22/25 10:15","49C","O3","119.227","120 ppb","M"
"8/22/25 10:16","49C","O3","118.640","120 ppb","M"
"8/22/25 10:17","49C","O3","117.933","120 ppb","M"
"8/22/25 10:18","49C","O3","117.460","120 ppb","M"
"8/22/25 10:19","49C","O3","118.947","120 ppb","M"
"8/22/25 10:20","49C","O3","119.240","120 ppb","M"
"8/22/25 10:21","49C","O3","119.573","120 ppb","M"
"8/22/25 10:22","49C","O3","119.133","120 ppb","M"
"8/22/25 10:23","49C","O3","118.627","120 ppb","M"
"8/22/25 10:24","49C","O3","118.853","120 ppb","M"
"8/22/25 10:25","49C","O3","119.160","120 ppb","M"
"8/22/25 10:26","49C","O3","119.180","120 ppb","M"
"8/22/25 10:27","49C","O3","118.873","120 ppb","M"
"8/22/25 10:28","49C","O3","118.727","120 ppb","M"
"8/22/25 10:29","49C","O3","118.653","120 ppb","M"
"8/22/25 10:30","49C","O3","118.673","120 ppb","M"
"8/22/25 10:31","49C","O3","118.803","120 ppb","M"
"8/22/25 10:32","49C","O3","119.307","120 ppb","M"
"8/22/25 10:33","49C","O3","119.013","120 ppb","M"
"8/22/25 10:34","49C","O3","118.287","120 ppb","M"
"8/22/25 10:35","49C","O3","118.693","120 ppb","M"
"8/22/25 10:36","49C","O3","118.587","120 ppb","M"
"8/22/25 10:37","49C","O3","119.173","120 ppb","M"
"8/22/25 10:38","49C","O3","118.560","120 ppb","M"
"8/22/25 10:39","49C","O3","118.807","120 ppb","M"
"8/22/25 10:40","49C","O3","118.807","120 ppb","M"
"8/22/25 10:41","49C","O3","118.213","120 ppb","M"
"8/22/25 10:42","49C","O3","119.040","120 ppb","M"
"8/22/25 10:43","49C","O3","119.207","120 ppb","M"
"8/22/25 10:44","49C","O3","119.260","120 ppb","M"
"8/22/25 10:45","49C","O3","118.533","120 ppb","M"
"8/22/25 10:46","49C","O3","118.547","120 ppb","M"
"8/22/25 10:47","49C","O3","117.680","120 ppb","M"
"8/22/25 10:48","49C","O3","117.713","120 ppb","M"
"8/22/25 10:49","49C","O3","118.580","120 ppb","M"
"8/22/25 10:50","49C","O3","119.033","120 ppb","M"
"8/22/25 10:51","49C","O3","119.760","120 ppb","M"
"8/22/25 10:52","49C","O3","119.947","120 ppb","M"
"8/22/25 10:53","49C","O3","119.160","120 ppb","M"
"8/22/25 10:54","49C","O3","118.773","120 ppb","M"
"8/22/25 10:55","49C","O3","119.973","120 ppb","M"
"8/22/25 10:56","49C","O3","120.047","120 ppb","M"
"8/22/25 10:57","49C","O3","119.920","120 ppb","M"
"8/22/25 10:58","49C","O3","119.867","120 ppb","M"
"8/22/25 10:59","49C","O3","119.053","120 ppb","M"
"8/22/25 11:00","49C","O3","118.840","120 ppb","M"
"8/22/25 11:01","49C","O3","119.735","120 ppb","M"
"8/22/25 11:02","49C","O3","119.040","120 ppb","M"
"8/22/25 11:03","49C","O3","119.333","120 ppb","M"
"8/22/25 11:04","49C","O3","119.033","120 ppb","M"
"8/22/25 11:05","49C","O3","119.540","120 ppb","M"
"8/22/25 11:06","49C","O3","119.207","120 ppb","M"
"8/22/25 11:07","49C","O3","119.067","120 ppb","M"
"8/22/25 11:08","49C","O3","119.120","120 ppb","M"
"8/22/25 11:09","49C","O3","119.653","120 ppb","M"
"8/22/25 11:10","49C","O3","119.780","120 ppb","M"
"8/22/25 11:11","49C","O3","119.160","120 ppb","M"
"8/22/25 11:12","49C","O3","118.980","120 ppb","M"
"8/22/25 11:13","49C","O3","119.960","120 ppb","M"
"8/22/25 11:14","49C","O3","120.727","120 ppb","M"
"8/22/25 11:15","49C","O3","119.867","120 ppb","M"
"8/22/25 11:16","49C","O3","119.300","120 ppb","M"
"8/22/25 11:17","49C","O3","119.233","120 ppb","M"
"8/22/25 11:18","49C","O3","119.427","120 ppb","M"
"8/22/25 11:19","49C","O3","119.013","120 ppb","M"
"8/22/25 11:20","49C","O3","119.333","120 ppb","M"
"8/22/25 11:21","49C","O3","119.200","120 ppb","M"
"8/22/25 11:22","49C","O3","119.053","120 ppb","M"
"8/22/25 11:23","49C","O3","118.507","120 ppb","M"
"8/22/25 11:24","49C","O3","119.733","120 ppb","M"
"8/22/25 11:25","49C","O3","119.213","120 ppb","M"
"8/22/25 11:26","49C","O3","119.027","120 ppb","M"
"8/22/25 11:27","49C","O3","118.927","120 ppb","M"
"8/22/25 11:28","49C","O3","118.080","120 ppb","M"
"8/22/25 11:29","49C","O3","117.413","120 ppb","M"
"8/22/25 11:30","49C","O3","118.487","120 ppb","M"
"8/22/25 11:31","49C","O3","118.872","120 ppb","M"
"8/22/25 11:32","49C","O3","119.220","120 ppb","M"
"8/22/25 11:33","49C","O3","118.400","120 ppb","M"
"8/22/25 11:34","49C","O3","118.907","120 ppb","M"
"8/22/25 11:35","49C","O3","118.393","120 ppb","M"
"8/22/25 11:36","49C","O3","118.327","120 ppb","M"
"8/22/25 11:37","49C","O3","118.987","120 ppb","M"
"8/22/25 11:38","49C","O3","119.527","120 ppb","M"
"8/22/25 11:39","49C","O3","119.213","120 ppb","M"
"8/22/25 11:40","49C","O3","118.880","120 ppb","M"
"8/22/25 11:41","49C","O3","119.200","120 ppb","M"
