"date","device","poll","conc","vg","conex"
"08/13/25 10:30","49C","O3","185.873","180 ppb","D"
"08/13/25 10:31","49C","O3","183.162","180 ppb","D"
"08/13/25 10:32","49C","O3","181.043","180 ppb","D"
"08/13/25 10:33","49C","O3","11:55","180 ppb","D"
"08/13/25 10:34","49C","O3","181.413","180 ppb","D"
"08/13/25 10:35","49C","O3","181.973","180 ppb","D"
"08/13/25 10:36","49C","O3","14:34","180 ppb","D"
"08/13/25 10:37","49C","O3","181.38","180 ppb","D"
"08/13/25 10:38","49C","O3","180.433","180 ppb","D"
"08/13/25 10:39","49C","O3","180.007","180 ppb","D"
"08/13/25 10:40","49C","O3","179.62","180 ppb","D"
"08/13/25 10:41","49C","O3","180.513","180 ppb","D"
"08/13/25 10:42","49C","O3","180.387","180 ppb","D"
"08/13/25 10:43","49C","O3","180.02","180 ppb","D"
"08/13/25 10:44","49C","O3","180.613","180 ppb","D"
"08/13/25 10:45","49C","O3","180.86","180 ppb","D"
"08/13/25 10:46","49C","O3","180.527","180 ppb","D"
"08/13/25 10:47","49C","O3","180.873","180 ppb","D"
"08/13/25 10:48","49C","O3","180.747","180 ppb","D"
"08/13/25 10:49","49C","O3","179.84","180 ppb","D"
"08/13/25 10:50","49C","O3","180.353","180 ppb","D"
"08/13/25 10:51","49C","O3","180.68","180 ppb","D"
"08/13/25 10:52","49C","O3","180.48","180 ppb","D"
"08/13/25 10:53","49C","O3","180.26","180 ppb","D"
"08/13/25 10:54","49C","O3","179.747","180 ppb","D"
"08/13/25 10:55","49C","O3","179.76","180 ppb","D"
"08/13/25 10:56","49C","O3","180.32","180 ppb","D"
"08/13/25 10:57","49C","O3","179.63","180 ppb","D"
"08/13/25 10:58","49C","O3","180.687","180 ppb","D"
"08/13/25 10:59","49C","O3","179.927","180 ppb","D"
"08/13/25 11:00","49C","O3","179.207","180 ppb","D"
"08/13/25 11:01","49C","O3","180.24","180 ppb","D"
"08/13/25 11:02","49C","O3","180.133","180 ppb","D"
"08/13/25 11:03","49C","O3","179.133","180 ppb","D"
"08/13/25 11:04","49C","O3","179.367","180 ppb","D"
