"date","device","poll","conc","vg","conex"
"08/13/25 12:06","49C","O3","161.05",NA,"D"
"08/13/25 13:37","49C","O3","99.942",NA,"D"
"08/13/25 13:38","49C","O3","73.003",NA,"D"
"08/13/25 13:39","49C","O3","73.984",NA,"D"
"08/13/25 13:40","49C","O3","77.277",NA,"D"
"08/13/25 13:41","49C","O3","79.921",NA,"D"
"08/13/25 15:05","49C","O3","77.909",NA,"D"
"08/13/25 15:06","49C","O3","41.243",NA,"D"
"08/13/25 15:07","49C","O3","37.529",NA,"D"
"08/13/25 15:08","49C","O3","38.174",NA,"D"
"08/13/25 15:09","49C","O3","39.378",NA,"D"
