"date","device","poll","conc","vg","conex"
"8/22/25 9:53","49C","O3","177.008",NA,"M"
"8/22/25 9:54","49C","O3","131.483",NA,"M"
"8/22/25 11:42","49C","O3","118.853",NA,"M"
"8/22/25 11:43","49C","O3","118.925",NA,"M"
"8/22/25 11:44","49C","O3","106.282",NA,"M"
"8/22/25 11:45","49C","O3","81.843",NA,"M"
"8/22/25 13:19","49C","O3","78.469",NA,"M"
"8/22/25 13:20","49C","O3","69.382",NA,"M"
"8/22/25 13:21","49C","O3","42.983",NA,"M"
"8/22/25 15:01","49C","O3","11.119",NA,"M"
"8/22/25 15:02","49C","O3","0.000",NA,"M"
