"date","device","poll","c","vg","conex"
"9/3/25 15:26","HAPSA-370","SO2",-0.6,"0 ppb","D"
"9/3/25 15:27","HAPSA-370","SO2",-0.6,"0 ppb","D"
"9/3/25 15:28","HAPSA-370","SO2",-0.5,"0 ppb","D"
"9/3/25 15:29","HAPSA-370","SO2",-0.6,"0 ppb","D"
"9/3/25 15:30","HAPSA-370","SO2",-0.6,"0 ppb","D"
"9/3/25 15:31","HAPSA-370","SO2",-0.4,"0 ppb","D"
"9/3/25 15:32","HAPSA-370","SO2",0.1,"0 ppb","D"
"9/3/25 15:33","HAPSA-370","SO2",0.2,"0 ppb","D"
"9/3/25 15:34","HAPSA-370","SO2",0.1,"0 ppb","D"
"9/3/25 15:35","HAPSA-370","SO2",0.1,"0 ppb","D"
"9/3/25 15:36","HAPSA-370","SO2",0.1,"0 ppb","D"
"9/3/25 15:37","HAPSA-370","SO2",0.2,"0 ppb","D"
"9/3/25 15:38","HAPSA-370","SO2",0.4,"0 ppb","D"
"9/3/25 15:39","HAPSA-370","SO2",0.4,"0 ppb","D"
"9/3/25 15:40","HAPSA-370","SO2",0.5,"0 ppb","D"
"9/3/25 15:41","HAPSA-370","SO2",0.3,"0 ppb","D"
"9/3/25 15:42","HAPSA-370","SO2",0.2,"0 ppb","D"
"9/3/25 15:43","HAPSA-370","SO2",0.3,"0 ppb","D"
"9/3/25 15:44","HAPSA-370","SO2",0.5,"0 ppb","D"
"9/3/25 15:45","HAPSA-370","SO2",0.4,"0 ppb","D"
"9/3/25 15:46","HAPSA-370","SO2",0.3,"0 ppb","D"
"9/3/25 15:47","HAPSA-370","SO2",0.3,"0 ppb","D"
"9/3/25 15:48","HAPSA-370","SO2",0.4,"0 ppb","D"
"9/3/25 15:49","HAPSA-370","SO2",0.3,"0 ppb","D"
"9/3/25 15:50","HAPSA-370","SO2",0.5,"0 ppb","D"
"9/3/25 15:51","HAPSA-370","SO2",0.5,"0 ppb","D"
"9/3/25 15:52","HAPSA-370","SO2",0.4,"0 ppb","D"
"9/3/25 15:53","HAPSA-370","SO2",0.3,"0 ppb","D"
"9/3/25 15:54","HAPSA-370","SO2",0.2,"0 ppb","D"
"9/3/25 15:55","HAPSA-370","SO2",0.4,"0 ppb","D"
"9/3/25 15:56","HAPSA-370","SO2",0.4,"0 ppb","D"
"9/3/25 15:57","HAPSA-370","SO2",0.4,"0 ppb","D"
"9/3/25 15:58","HAPSA-370","SO2",0.3,"0 ppb","D"
"9/3/25 15:59","HAPSA-370","SO2",0.1,"0 ppb","D"
"9/3/25 16:00","HAPSA-370","SO2",0,"0 ppb","D"
"9/3/25 16:01","HAPSA-370","SO2",0,"0 ppb","D"
"9/3/25 16:02","HAPSA-370","SO2",0.2,"0 ppb","D"
"9/3/25 16:03","HAPSA-370","SO2",0.1,"0 ppb","D"
"9/3/25 16:04","HAPSA-370","SO2",0.1,"0 ppb","D"
"9/3/25 16:05","HAPSA-370","SO2",0.1,"0 ppb","D"
"9/3/25 16:06","HAPSA-370","SO2",-0.1,"0 ppb","D"
"9/3/25 16:07","HAPSA-370","SO2",-0.3,"0 ppb","D"
"9/3/25 16:08","HAPSA-370","SO2",-0.2,"0 ppb","D"
"9/3/25 16:09","HAPSA-370","SO2",-0.1,"0 ppb","D"
"9/3/25 16:10","HAPSA-370","SO2",-0.3,"0 ppb","D"
"9/3/25 16:11","HAPSA-370","SO2",-0.4,"0 ppb","D"
"9/3/25 16:12","HAPSA-370","SO2",-0.5,"0 ppb","D"
"9/3/25 16:13","HAPSA-370","SO2",-0.4,"0 ppb","D"
"9/3/25 16:14","HAPSA-370","SO2",-0.3,"0 ppb","D"
"9/3/25 16:15","HAPSA-370","SO2",-0.3,"0 ppb","D"
"9/3/25 16:16","HAPSA-370","SO2",-0.2,"0 ppb","D"
"9/3/25 16:17","HAPSA-370","SO2",-0.1,"0 ppb","D"
"9/3/25 16:18","HAPSA-370","SO2",-0.1,"0 ppb","D"
