"date","device","poll","c","vg","conex"
"9/4/25 9:05","HAPSA-370","SO2",169.3,NA,"D"
"9/4/25 9:06","HAPSA-370","SO2",146.8,NA,"D"
"9/4/25 9:07","HAPSA-370","SO2",140,NA,"D"
"9/4/25 10:37","HAPSA-370","SO2",126.7,NA,"D"
"9/4/25 10:38","HAPSA-370","SO2",105.8,NA,"D"
"9/4/25 12:03","HAPSA-370","SO2",99.4,NA,"D"
"9/4/25 12:04","HAPSA-370","SO2",99.4,NA,"D"
"9/4/25 12:05","HAPSA-370","SO2",95.1,NA,"D"
"9/4/25 12:06","HAPSA-370","SO2",74.1,NA,"D"
"9/4/25 13:40","HAPSA-370","SO2",46.6,NA,"D"
"9/4/25 13:41","HAPSA-370","SO2",25.4,NA,"D"
"9/4/25 15:07","HAPSA-370","SO2",17.4,NA,"D"
"9/4/25 15:08","HAPSA-370","SO2",6.9,NA,"D"
"9/4/25 15:09","HAPSA-370","SO2",0.7,NA,"D"
